2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
